Sr,Name,Docstatus,Customer,Type of Invoice,Grand Total,Status,Currency,Grand Total (Company Currency),Outstanding Amount,Payment Due Date,Integrator ID,Party Account Currency,POS Profile,Date,Price List Rate,Item Name,Item,Sales Invoice
1491,MP-SINV-2024-81599-1,1,Cash - Shopify ID,Full Payment,899000,Paid,IDR,899000,0,2024-05-05,323815-NONPCA,IDR,Shopify ID - Kasir,2024-05-05,98000,EVO SEOHA TOILETRIES - OLIVE,TUBOT200100OGBIMNG,ea96bd0fed
1492,ACC-SINV-2024-01532,1,Cash - Shopify ID,Full Payment,548000,Paid,IDR,548000,0,2024-05-19,323816,IDR,Shopify ID - Kasir,2024-05-19,478000,NEO HONGCHEON DAYPACK 22L - BLACK,TMBBD100126BANXNG,a3769dc97c
1493,ACC-SINV-2024-01532,1,Cash - Shopify ID,Full Payment,548000,Paid,IDR,548000,0,2024-05-19,323816,IDR,Shopify ID - Kasir,2024-05-19,198000,NEO AICHI WAIST BAG - BLACK,TMBWB100200BJNXAR,dd62a6d3c7
1494,MP-SINV-2024-79996,1,Cash - Shopify ID,Full Payment,365000,Paid,IDR,365000,0,2024-05-06,323817,IDR,Shopify ID - Kasir,2024-05-06,418000,ALMAGRO OFFICE BACKPACK - BLACK,TMBBO2033BJNG,731c6f5ca2
1495,MP-SINV-2024-79996,1,Cash - Shopify ID,Full Payment,365000,Paid,IDR,365000,0,2024-05-06,323817,IDR,Shopify ID - Kasir,2024-05-06,98000,EVO SEOHA TOILETRIES - OLIVE,TUBOT200100OGBIMNG,96b99cfb00
1496,MP-SINV-2024-79996,1,Cash - Shopify ID,Full Payment,365000,Paid,IDR,365000,0,2024-05-06,323817,IDR,Shopify ID - Kasir,2024-05-06,88000,NEO SAMGEO CARD HOLDER - BLACK,TMCWK200400BJNG,9b7a8a531e
1497,ACC-SINV-2024-01531,1,Cash - Shopify ID,Full Payment,1000867.4,Paid,IDR,1000867.4,0,2024-05-19,323819,IDR,Shopify ID - Kasir,2024-05-19,1299000,NEO TAKAHAGI TBP 40L ROCK - GREY,TUBBT000140GCTRING,585de6faa3
1498,ACC-SINV-2024-01531,1,Cash - Shopify ID,Full Payment,1000867.4,Paid,IDR,1000867.4,0,2024-05-19,323819,IDR,Shopify ID - Kasir,2024-05-19,178000,Kashiba 3 L Hitam,TPL4.MC.80120B,7a450f24da
1499,ACC-SINV-2024-01530,1,Cash - Shopify ID,Full Payment,221728,Paid,IDR,221728,0,2024-05-19,323820,IDR,Shopify ID - Kasir,2024-05-19,338000,NEO WONJU TOTE BACKPACK - BLACK,TUBBE100419BJNXNG,d4ef74ce62
1500,ACC-SINV-2024-01529,1,Cash - Shopify ID,Full Payment,150000,Paid,IDR,150000,0,2024-05-19,323823,IDR,Shopify ID - Kasir,2024-05-19,150000,YAHYA SLING BAG - BLACK,TUBLB363400BAPOLMN,5df151a605
